,belongs_to_collection,genres,original_language,popularity,production_companies,runtime,spoken_languages,title,vote_average
20416,The ABCs of Death Collection,['Horror'],en,5.839324,"['Magnet Releasing', 'Drafthouse Films']",123.0,"['한국어/조선말', 'English', 'Español', '日本語', 'Deutsch', 'Français']",The ABCs of Death,4.7
20420,Resident Evil: Biohazard,['Animation'],en,16.532373,"['Digital Frontier', 'Sony Pictures Entertainment', 'Capcom Company']",100.0,"['日本語', 'English']",Resident Evil: Damnation,6.3
20439,Armour of God Collection,"['Action', 'Adventure']",cn,11.02591,"['Emperor Motion Pictures', 'JCE Movies']",120.0,"['普通话', 'English', 'Français', 'Español', 'Pусский']",Chinese Zodiac,6.0
20447,Die Hard Collection,"['Action', 'Thriller']",en,12.471865,"['Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Mid Atlantic Films', 'Big Screen Productions', 'Temple Hill Entertainment', 'TSG Entertainment', 'Giant Pictures', 'Origo Film Group']",98.0,"['English', 'Pусский']",A Good Day to Die Hard,5.2
20465,Åsa-Nisse Collection,['Comedy'],sv,0.726197,"['Nordisk Film', 'Film i Väst', 'TV4 Sweden AB', 'Modern Studios', 'Strix Drama AB', 'Lester Film', 'LiteGrip AB', 'Fido Film AB']",89.0,['svenska'],Åsa-Nisse - Welcome to Knohult,3.9
20470,Universal Soldier Collection,"['Thriller', 'Action', 'Science Fiction', 'Horror', 'Mystery']",en,12.887287,"['Signature Pictures', 'Foresight Unlimited', 'Baumgarten Management and Productions (BMP)']",114.0,['English'],Universal Soldier: Day of Reckoning,5.1
20488,Before... Collection,"['Romance', 'Drama']",en,11.30324,"['Sony Pictures Classics', 'Castle Rock Entertainment', 'Detour Filmproduction', 'Faliro House Productions', 'Venture Forth']",108.0,"['English', 'ελληνικά', 'Français']",Before Midnight,7.3
20495,Starship Troopers Collection,"['Animation', 'Action', 'Science Fiction']",en,13.357011,"['Sola Digital Arts', 'Stage 6 Films']",89.0,['English'],Starship Troopers: Invasion,5.6
20496,The Magick Lantern Cycle,"['Mystery', 'Fantasy']",en,1.303516,"['Norddeutscher Rundfunk (NDR)', 'Puck Film Productions', 'Vaughan Films', 'British Film Finance']",29.0,['English'],Lucifer Rising,7.4
20512,Journey to the West Collection,"['Action', 'Fantasy', 'Adventure', 'Comedy']",zh,10.506004,"['Huayi Brothers', 'EDKO Film', 'China Film Group Corporation (CFGC)', 'Bingo Movie Development', 'Village Roadshow Pictures Asia', 'Chinavision Media Group']",110.0,['普通话'],Journey to the West: Conquering the Demons,6.8
20516,Maniac Cop Collection,"['Horror', 'Thriller', 'Action']",en,2.412356,"['Overseas FilmGroup', 'Medusa Pictures', 'The Movie House Sales Company', 'Fadd Enterprises']",90.0,['English'],Maniac Cop 2,5.3
20529,The Last Exorcism Collection,"['Horror', 'Thriller']",en,5.874458,"['StudioCanal', 'CBS Films']",88.0,['English'],The Last Exorcism Part II,4.4
20536,G.I. Joe (Live-Action) Collection,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",en,10.560608,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Hasbro', 'Skydance Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Saints LA']",110.0,['English'],G.I. Joe: Retaliation,5.4
20550,The Croods Collection,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",en,14.757874,['DreamWorks Animation'],98.0,['English'],The Croods,6.8
20565,The Incredible Hulk (TV Movie) Collection,"['Adventure', 'Fantasy', 'Drama', 'Action', 'Science Fiction']",en,5.702677,['New World Television'],100.0,['English'],The Trial of the Incredible Hulk,4.9
20620,... Has Fallen Collection,"['Action', 'Thriller']",en,10.978188,"['Nu Image Films', 'Millennium Films']",120.0,"['English', '한국어/조선말']",Olympus Has Fallen,6.2
20688,Don Collection,"['Action', 'Drama', 'Thriller']",hi,7.633636,"['Excel Entertainment', 'Eros International']",178.0,['हिन्दी'],Don : The Chase Begins Again,7.3
20698,Dr. Dolittle Collection,"['Comedy', 'Family', 'Fantasy']",en,6.204275,"['Davis Entertainment', '20th Century Fox Home Entertainment', 'D3C Productions Ltd.']",95.0,['English'],Dr. Dolittle 3,4.5
20699,The Blind Dead Collection,['Horror'],es,1.791601,"['Ancla Century Films', 'Belén Films']",89.0,['Español'],The Ghost Galleon,4.8
20709,Cyborg 009 Collection,"['Action', 'Animation', 'Science Fiction']",ja,1.607827,['Production I.G.'],103.0,['日本語'],009 Re: Cyborg,5.7
20714,Krrish Collection,"['Drama', 'Action', 'Science Fiction', 'Romance', 'Foreign']",hi,3.273286,['Filmkraft Productions Pvt. Ltd'],171.0,"['Deutsch', 'हिन्दी']",Koi... Mil Gaya,6.4
20791,Scary Movie Collection,['Comedy'],en,14.27281,['Dimension Films'],86.0,['English'],Scary Movie 5,4.6
20815,Justice League (Animated) Collection,"['Action', 'Animation', 'Thriller']",en,5.803594,"['DC Comics', 'Warner Bros. Animation', 'DC Entertainment']",77.0,"['English', 'Español']",Justice League: Doom,7.1
20830,Iron Man Collection,"['Action', 'Adventure', 'Science Fiction']",en,23.721243,['Marvel Studios'],130.0,['English'],Iron Man 3,6.8
20834,Charlie Chan (Warner Oland) Collection,"['Thriller', 'Crime', 'Comedy', 'Mystery', 'Drama']",en,0.377614,['Fox Film Corporation'],71.0,['English'],The Black Camel,5.2
20853,Dolemite Collection,"['Action', 'Comedy']",en,0.991969,['Comedian International'],85.0,['English'],The Human Tornado,5.8
20869,Ju-on Collection,['Horror'],ja,2.215998,"['Cell', 'Oz Company', 'Toei Video Company']",61.0,['日本語'],Ju-on: White Ghost,6.0
20870,Ju-on Collection,['Horror'],ja,1.280953,"['Cell', 'Oz Company']",60.0,['日本語'],Ju-on: Black Ghost,4.6
20891,The Sentimental Swordsman Collection,"['Action', 'Adventure', 'Drama', 'Foreign']",zh,0.527499,['Shaw Brothers'],101.0,['普通话'],The Sentimental Swordsman,6.0
20906,Fortress Collection,"['Science Fiction', 'Action']",en,2.603049,['Carousel Picture Company'],92.0,['English'],Fortress 2,4.6
20922,Star Trek: Alternate Reality Collection,"['Action', 'Adventure', 'Science Fiction']",en,15.78129,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'Kurtzman/Orci']",132.0,['English'],Star Trek Into Darkness,7.4
20941,Zatôichi: The Blind Swordsman,"['Adventure', 'Action', 'Drama']",ja,1.553736,['Toho Company'],115.0,['日本語'],Zatôichi Meets Yojimbo,6.9
20947,Sissi Collection,"['Drama', 'Comedy', 'Romance']",de,6.321126,['Erma-Film'],107.0,['Deutsch'],Sissi: The Young Empress,7.0
20968,The Hangover Collection,['Comedy'],en,25.085639,"['Legendary Pictures', 'Green Hat Films']",100.0,['English'],The Hangover Part III,6.0
20970,The Fast and the Furious Collection,"['Action', 'Thriller', 'Crime']",en,1.657637,"['Universal Studios', 'Universal Pictures', 'Original Film', 'One Race Productions', 'Fuji Television Network', 'Dentsu', 'Relativity Media', 'Etalon film', 'F & F VI Productions A.I.E']",130.0,"['English', 'Pусский', 'Español']",Fast & Furious 6,6.7
20972,Captain America 1979 Classic Collection,"['Action', 'TV Movie', 'Science Fiction']",en,1.680242,['Universal Television'],97.0,['English'],Captain America,4.7
21025,Now You See Me Collection,"['Thriller', 'Crime']",en,17.852022,"['Summit Entertainment', 'K/O Paper Products', 'SOIXAN7E QUIN5E', 'See Me Louisiana']",115.0,"['Français', 'English']",Now You See Me,7.3
21065,Mods Collection,['Documentary'],sv,1.289488,['Svenska Filminstitutet'],100.0,['svenska'],They Call Us Misfits,6.4
21068,Man of Steel Collection,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,18.538834,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']",143.0,['English'],Man of Steel,6.5
21080,The Purge Collection,"['Science Fiction', 'Horror', 'Thriller']",en,23.207663,"['Universal Pictures', 'Why Not Productions', 'Platinum Dunes', 'Blumhouse Productions', '20th Century Fox Russia']",86.0,['English'],The Purge,6.0
21089,Tetsuo Collection,"['Action', 'Science Fiction', 'Horror', 'Thriller']",en,1.658163,['Asmik Ace Entertainment'],71.0,['English'],Tetsuo: The Bullet Man,5.5
21095,Beverly Hills Chihuahua Collection,"['Comedy', 'Family']",en,4.01161,['Walt Disney Pictures'],89.0,"['Nederlands', 'English', 'Deutsch', 'svenska']",Beverly Hills Chihuahua 3 - Viva La Fiesta!,5.8
21101,"Monsters, Inc. Collection","['Animation', 'Family']",en,16.267502,"['Walt Disney Pictures', 'Pixar Animation Studios']",104.0,['English'],Monsters University,7.0
21117,Fullmetal Alchemist Collection,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Science Fiction']",ja,2.463401,"['Tokyo Broadcasting System (TBS)', 'Aniplex', 'Mainichi Broadcasting System (MBS)', 'FUNimation Entertainment', 'Shochiku Company', 'Dentsu', 'Square Enix', 'Bones']",110.0,['日本語'],Fullmetal Alchemist: The Sacred Star of Milos,6.9
21123,Pacific Rim Collection,"['Action', 'Science Fiction', 'Adventure']",en,33.949359,"['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)', 'Indochina Productions']",131.0,['English'],Pacific Rim,6.7
21124,LEGO DC Comics Super Heroes Collection,"['Animation', 'Adventure', 'Family']",en,1.607783,"['DC Comics', 'LEGO', 'The Lego Group', 'Warner Premiere Digital', ""Traveller's Tales""]",71.0,['English'],Lego Batman: The Movie - DC Super Heroes Unite,6.4
21130,World War Z Collection,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",en,26.114917,"['Paramount Pictures', 'GK Films', 'Skydance Productions', 'Hemisphere Media Capital', 'Apparatus Productions', 'Latina Pictures', '2DUX²']",116.0,['English'],World War Z,6.7
21134,K-9 Collection,"['Action', 'Comedy', 'Crime', 'Mystery']",en,5.19009,['Universal Home Entertainment'],91.0,['English'],K-911,5.2
21135,Mr. Moto Collection,"['Drama', 'Mystery', 'Thriller']",en,1.060894,['Twentieth Century Fox Film Corporation'],72.0,['English'],Mr. Moto's Gamble,6.3
21161,Despicable Me Collection,"['Animation', 'Comedy', 'Family']",en,24.82355,"['Universal Pictures', 'Illumination Entertainment']",98.0,['English'],Despicable Me 2,7.0
21195,Ghoulies Collection,"['Fantasy', 'Drama', 'Horror', 'Action', 'Comedy']",en,1.540257,"['Taurus Entertainment Company', 'Vestron Pictures']",94.0,['English'],Ghoulies III: Ghoulies Go to College,3.9
21202,Return of the Living Dead Collection,"['Comedy', 'Horror']",en,8.195958,"['Castel Film Romania', 'Denholm Trading Inc.', 'Aurora Entertainment']",88.0,"['English', 'Deutsch']",Return of the Living Dead: Necropolis,3.7
21203,V/H/S Collection,"['Horror', 'Thriller']",en,10.714779,"['The Collective', 'Bloody Disgusting', '8383 Productions', 'Snoot Entertainment', 'Haxan Films']",95.0,['English'],V/H/S/2,6.0
21204,Return of the Living Dead Collection,"['Comedy', 'Horror']",en,8.186979,"['Castel Film Romania', 'Denholm Trading Inc.', 'Aurora Entertainment']",86.0,"['English', 'Deutsch']",Return of the Living Dead: Rave to the Grave,4.3
21238,Sharknado Collection,"['TV Movie', 'Horror']",en,4.928195,"['The Asylum', 'Syfy', 'Southward Films']",86.0,['English'],Sharknado,3.8
21247,Sällskapsresorna,['Comedy'],sv,2.059092,"['Smart Egg Pictures', 'Lefwander Kapitalförvaltning AB', 'Cinema Art', 'Svensk Filmindustri (SF)', 'Viking Film']",107.0,"['English', 'Norsk', 'svenska']",Den ofrivillige golfaren,4.6
21260,Tai Chi Collection,"['Action', 'Adventure']",zh,3.164718,['Huayi Brothers & Taihe Film Investment'],100.0,['普通话'],Tai Chi Hero,5.9
21264,Justice League (Animated) Collection,"['Fantasy', 'Science Fiction', 'Animation', 'Action', 'Adventure']",en,9.527559,"['DC Comics', 'Warner Bros. Animation', 'DC Entertainment', 'Studio 4°C']",75.0,"['English', 'Français', 'Español']",Justice League: The Flashpoint Paradox,7.3
21276,The Conjuring Collection,"['Horror', 'Thriller']",en,14.90169,"['New Line Cinema', 'The Safran Company', 'Evergreen Media Group']",112.0,['English'],The Conjuring,7.4
21280,Mean Girls Collection,['Comedy'],en,7.515436,['Paramount Famous Productions'],96.0,['English'],Mean Girls 2,5.1
21296,The Wolverine Collection,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",en,3.918287,"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'Big Screen Productions', 'TSG Entertainment']",126.0,['English'],The Wolverine,6.3
21309,RED Collection,"['Action', 'Comedy', 'Crime', 'Thriller']",en,11.04233,"['DC Comics', 'Di Bonaventura Pictures', 'Summit Entertainment', 'DC Entertainment']",116.0,"['English', 'Français', 'Pусский']",RED 2,6.4
21313,The Incredible Hulk (TV Movie) Collection,"['Action', 'Drama', 'Science Fiction']",en,4.541138,['New World Television'],95.0,['English'],The Death of the Incredible Hulk,4.2
21314,Nick Carter Collection,"['Crime', 'Mystery', 'Drama']",en,0.081235,['Metro-Goldwyn-Mayer (MGM)'],59.0,['English'],"Nick Carter, Master Detective",6.0
21370,The Arrival Collection,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",en,2.305426,"['Rootbeer Films', 'Taurus 7 Film Corporation']",101.0,['English'],The Second Arrival,3.1
21376,Vares Collection,"['Action', 'Crime']",fi,0.562559,['Solar Films inc.'],93.0,['suomi'],Vares - The Path Of The Righteous Men,5.9
21380,Percy Jackson Collection,"['Adventure', 'Family', 'Fantasy']",en,10.338222,"['1492 Pictures', 'Dune Entertainment', 'Fox 2000 Pictures', 'Sunswept Entertainment', 'Dune Entertainment III', 'TSG Entertainment']",106.0,['English'],Percy Jackson: Sea of Monsters,5.9
21381,The Smurfs (Theatrical) Collection,"['Fantasy', 'Family', 'Comedy', 'Animation']",en,10.640864,"['Columbia Pictures', 'Sony Pictures Animation', 'Kerner Entertainment Company', 'Hemisphere Media Capital', 'NeoReel']",105.0,['English'],The Smurfs 2,5.5
21383,Class of 1999 Collection,"['Science Fiction', 'Thriller']",en,6.700173,"['Lightning Pictures', 'Original Pictures']",99.0,['English'],Class of 1999,6.3
21387,My Little Pony: Equestria Girls Collection,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Music']",en,8.353231,"['Hasbro', 'DHX Media']",72.0,['English'],My Little Pony: Equestria Girls,7.1
21388,Lupin the Third Collection,"['Action', 'Adventure', 'Animation', 'Comedy', 'Crime']",ja,0.961479,"['Toho Company', 'TMS Entertainment']",102.0,['日本語'],Lupin the Third: The Secret of Mamo,7.4
21393,Kevin Smith: Silent Bob Speaks!,['Comedy'],en,0.914668,['Epix'],60.0,['English'],Jay and Silent Bob Go Down Under,5.0
21400,Batman (DC Universe Animated) Collection,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Science Fiction', 'Family']",en,8.26786,"['Warner Bros. Pictures', 'DC Comics']",74.0,"['Český', 'English', 'Français']",Batman: Mystery of the Batwoman,6.6
21403,Kickboxer Collection,"['Action', 'Thriller']",en,2.426706,['Kings Road Entertainment'],92.0,"['English', 'Português']",Kickboxer 3: The Art of War,4.2
21405,Kickboxer Collection,"['Drama', 'Action', 'Thriller', 'Romance']",en,1.85208,['Kings Road Entertainment'],90.0,['English'],Kickboxer 4: The Agresor,4.5
21406,Class of 1999 Collection,"['Action', 'Science Fiction']",en,4.140523,['Cinetel Films'],87.0,['English'],Class of 1999 II - The Substitute,4.1
21407,We're the Millers Collection,"['Comedy', 'Crime']",en,18.474368,"['New Line Cinema', 'BenderSpink', 'Heyday Films', 'Newman/Tooley Films', 'Vincent Newman Entertainment', 'Slap Happy Productions (II)']",110.0,['English'],We're the Millers,6.8
21410,Grown Ups Collection,['Comedy'],en,9.411725,"['Columbia Pictures', 'Happy Madison Productions', 'Sony Pictures Entertainment (SPE)']",100.0,['English'],Grown Ups 2,5.8
21417,Kick-Ass Collection,"['Action', 'Adventure', 'Crime']",en,13.570264,"['Universal Pictures', 'Marv Films']",103.0,['English'],Kick-Ass 2,6.3
21418,The Chronicles of Riddick Collection,"['Science Fiction', 'Action', 'Thriller']",en,9.596377,"['One Race Productions', 'Radar Pictures', 'Riddick Canada Productions']",119.0,['English'],Riddick,6.2
21419,Planes Collection,"['Animation', 'Family', 'Adventure', 'Comedy']",en,11.604181,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",91.0,['English'],Planes,5.7
21420,Zatôichi: The Blind Swordsman,"['Adventure', 'Action', 'Drama']",ja,1.758765,['Daiei Motion Picture Company'],87.0,['日本語'],"Fight, Zatôichi, Fight",7.1
21421,Mr. Moto Collection,"['Crime', 'Drama', 'Mystery', 'Thriller']",en,0.224115,['Twentieth Century Fox Film Corporation'],64.0,['English'],Mr. Moto in Danger Island,6.5
21430,"Maria, ihm schmeckt's nicht!",['Comedy'],de,1.907941,['Claussen Wöbke Putz Filmproduktion'],92.0,"['Deutsch', 'Italiano']","Maria, ihm schmeckt's nicht!",5.5
21464,Cold Prey Collection,"['Drama', 'Horror', 'Mystery', 'Thriller']",no,6.987879,['Fantefilm'],86.0,['Norsk'],Cold Prey II,6.4
21465,Cold Prey Collection,['Horror'],nb,1.817929,['Fantefilm'],95.0,['Norsk'],Cold Prey III,5.9
21546,Subspecies Collection,"['Fantasy', 'Horror']",en,2.159789,['Full Moon Entertainment'],83.0,['English'],Subspecies,5.6
21547,Subspecies Collection,"['Fantasy', 'Horror']",en,0.924228,"['Castel Film Studio', 'Full Moon Entertainment']",107.0,['English'],Bloodstone: Subspecies II,5.4
21548,Subspecies Collection,"['Fantasy', 'Horror', 'Thriller']",en,1.192999,"['Castel Film Romania', 'Full Moon Entertainment']",83.0,['English'],Bloodlust: Subspecies III,4.5
21550,Zapped Collection,['Comedy'],en,0.828592,"['Incorporated Television Company (ITC)', 'Part II Productions']",96.0,['English'],Zapped Again!,5.2
21552,Subspecies Collection,"['Horror', 'Fantasy']",en,0.657037,['Castel Film Romania'],85.0,"['Română', 'English']",Subspecies 4: Bloodstorm,5.8
21571,Puppet Master Collection,['Horror'],en,0.866995,['Full Moon Entertainment'],81.0,['English'],Puppet Master: Axis of Evil,3.1
21597,I Spit on Your Grave Collection,"['Thriller', 'Horror', 'Crime']",en,12.75872,['Cinetel Films'],106.0,"['български език', 'English']",I Spit on Your Grave 2,5.9
21609,Insidious Collection,"['Horror', 'Thriller']",en,9.040324,"['Sony Pictures', 'FilmDistrict']",106.0,"['English', 'ภาษาไทย']",Insidious: Chapter 2,6.5
21661,Masti Collection,"['Comedy', 'Drama', 'Romance']",hi,1.250293,['Maruti International'],140.0,['हिन्दी'],Grand Masti,4.6
21729,Scanners Collection,"['Horror', 'Science Fiction', 'Action']",en,2.201123,"['Malofilm', 'Allegro Films', 'The Image Organization', 'Filmtech']",104.0,"['English', 'Deutsch']",Scanners II: The New Order,4.6
21730,Scanners Collection,"['Horror', 'Science Fiction', 'Action']",en,1.614913,"['Malofilm', 'The Image Organization', 'Filmtech', 'Lance Entertainment']",101.0,"['English', 'Deutsch']",Scanners III: The Takeover,3.9
21755,Child's Play Collection,"['Horror', 'Thriller']",en,15.771245,['Universal 1440 Entertainment'],97.0,['English'],Curse of Chucky,5.6
21761,The Angel Collection,"['Action', 'Thriller', 'Crime']",en,5.246475,"['Planet Productions', 'Adams Apple Film Company', 'Angel Venture']",89.0,['English'],Angel,5.9
21780,Cloudy with a Chance of Meatballs Collection,"['Animation', 'Family', 'Comedy']",en,14.412061,"['Columbia Pictures', 'Sony']",95.0,['English'],Cloudy with a Chance of Meatballs 2,6.4
21802,All Dogs Go to Heaven Collection,"['Animation', 'Family', 'Comedy']",en,4.602352,['MGM Home Video'],73.0,['English'],An All Dogs Christmas Carol,5.2
21815,Machete Collection,"['Action', 'Crime', 'Thriller']",en,9.251084,"['Open Road Films', 'Overnight Films', 'AR Films', 'Aldamisa Entertainment', 'Demarest Films', '1821 Pictures', 'Quick Draw Productions']",107.0,"['English', 'Español']",Machete Kills,5.3
21821,Inner Sanctum mysteries,"['Thriller', 'Mystery']",en,0.795767,['Universal Pictures'],63.0,['English'],Calling Dr. Death,7.7
21824,Inner Sanctum mysteries,"['Fantasy', 'Mystery']",en,0.583353,['Universal Pictures Co. Inc.'],61.0,['English'],The Frozen Ghost,6.7
21831,Inner Sanctum mysteries,"['Mystery', 'Thriller']",en,0.505014,['Universal Pictures'],64.0,['English'],Weird Woman,6.5
21859,9½ Weeks Collection,"['Drama', 'Romance']",en,1.72106,"['M6 Films', 'Odessa Films', 'Saga Pictures', 'Jones Film', 'NTTS Productions Ltd.']",105.0,['English'],Another 9 1/2 Weeks,4.4
21865,Godzilla (Millennium) Collection,"['Action', 'Science Fiction']",ja,2.073747,['Toho Film (Eiga) Co. Ltd.'],105.0,['日本語'],Godzilla vs. Megaguirus,5.6
21866,Godzilla (Showa) Collection,"['Science Fiction', 'Fantasy']",ja,2.298163,"['Toho Film (Eiga) Co. Ltd.', 'Toho Company']",78.0,['日本語'],Godzilla vs. Megalon,5.6
21868,The Secret Garden Collection,"['Fantasy', 'Drama', 'Family']",en,1.126743,"['Artisan Entertainment', 'Hallmark Entertainment']",100.0,"['Português', 'English']",Back To The Secret Garden,5.8
21871,Mothra Collection,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",ja,1.116129,['Toho Film (Eiga) Co. Ltd.'],104.0,['日本語'],Rebirth of Mothra,6.0
21876,Godzilla (Heisei) Collection,"['Science Fiction', 'Action', 'Adventure', 'Fantasy']",ja,1.728526,['Toho Film (Eiga) Co. Ltd.'],108.0,['日本語'],Godzilla vs. SpaceGodzilla,5.6
21908,Inner Sanctum mysteries,"['Mystery', 'Thriller']",en,0.213339,['Universal Pictures'],66.0,['English'],Pillow of Death,6.5
21909,Mothra Collection,"['Science Fiction', 'Fantasy', 'Adventure', 'Family']",ja,0.885005,['Toho Film (Eiga) Co. Ltd.'],97.0,['日本語'],Rebirth of Mothra II,5.7
21910,Mothra Collection,"['Action', 'Science Fiction', 'Fantasy']",ja,1.080796,['Toho Film (Eiga) Co. Ltd.'],99.0,['日本語'],Rebirth of Mothra III,6.1
21938,Jackass Collection,['Comedy'],en,8.000867,"['Paramount Pictures', 'MTV Films', 'Dickhouse Productions']",92.0,['English'],Bad Grandpa,6.0
21941,Thor Collection,"['Action', 'Adventure', 'Fantasy']",en,34.905447,['Marvel Studios'],112.0,['English'],Thor: The Dark World,6.8
21947,Godzilla (Millennium) Collection,"['Science Fiction', 'Action']",ja,1.892602,['Toho Film (Eiga) Co. Ltd.'],91.0,['日本語'],Godzilla: Tokyo S.O.S.,5.9
21991,Godzilla (Millennium) Collection,"['Action', 'Foreign', 'Horror', 'Science Fiction']",ja,1.187456,['Toho Film (Eiga) Co. Ltd.'],88.0,['日本語'],Godzilla Against MechaGodzilla,6.8
22044,The Best Man Collection,['Comedy'],en,6.102021,['Universal'],123.0,['English'],The Best Man Holiday,6.7
22053,One Piece Collection,"['Animation', 'Fantasy', 'Adventure']",ja,4.958929,"['Shueisha', 'Toei Animation']",114.0,['日本語'],One Piece Film Strong World,7.4
22054,One Piece Collection,"['Action', 'Animation', 'Adventure']",ja,3.754607,"['Toei Animation', 'Yasahi-Mation Productions']",108.0,['日本語'],One Piece Film Z,7.2
22058,The Hunger Games Collection,"['Adventure', 'Action', 'Science Fiction']",en,25.309139,"['Lionsgate', 'Color Force']",146.0,['English'],The Hunger Games: Catching Fire,7.4
22059,The Hobbit Collection,"['Adventure', 'Fantasy']",en,20.644776,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']",161.0,['English'],The Hobbit: The Desolation of Smaug,7.6
22110,Frozen Collection,"['Animation', 'Adventure', 'Family']",en,24.248243,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",102.0,['English'],Frozen,7.3
22111,"Ninja, Band of Assassins Collection","['Action', 'Foreign']",ja,0.924169,['Daiei Studios'],104.0,['日本語'],Ninja 1,6.5
22144,Gamera Films,"['Action', 'Horror', 'Science Fiction']",ja,2.718759,['Daiei Motion Picture Company'],80.0,['日本語'],Gamera,5.5
22145,Zatôichi: The Blind Swordsman,"['Adventure', 'Action', 'Drama']",ja,2.817598,['Daiei Motion Picture Company'],96.0,['日本語'],The Tale of Zatôichi,7.2
22146,Zatôichi: The Blind Swordsman,"['Adventure', 'Action']",ja,1.263306,['Daiei Motion Picture Company'],72.0,['日本語'],The Tale of Zatôichi Continues,7.3
22153,Grave Encounters Collection,['Horror'],en,9.021941,"['Death Awaits Cinema', 'Twin Engine Films', 'Pink Buffalo Films']",95.0,['English'],Grave Encounters 2,5.2
22154,Rebuild of Evangelion,"['Animation', 'Science Fiction', 'Action', 'Drama']",ja,7.764883,['Studio Khara'],106.0,['日本語'],Evangelion: 3.0 You Can (Not) Redo,7.4
22156,Fright Night (Reboot) Collection,"['Horror', 'Comedy']",en,10.752888,['Gaeta / Rosenzweig Films'],99.0,['English'],Fright Night 2: New Blood,4.4
22164,Gamera Films,"['Fantasy', 'Action', 'Horror', 'Science Fiction', 'Adventure']",ja,0.635468,['Daiei Studios'],106.0,['日本語'],Gamera vs. Barugon,6.3
22165,Legally Blonde Collection,['Comedy'],en,15.504416,"['Type A Films', 'Marc Platt Productions', 'Brookwell-McNamara Entertainment', 'Metro-Goldwyn-Mayer (MGM)']",86.0,['English'],Legally Blondes,4.4
22169,Zatôichi: The Blind Swordsman,"['Action', 'Drama']",ja,1.552542,['Daiei Studios'],91.0,['日本語'],New Tale of Zatôichi,6.6
22170,Zatôichi: The Blind Swordsman,"['Drama', 'Adventure', 'Action']",ja,1.482114,['Daiei Studios'],86.0,['日本語'],Zatôichi the Fugitive,7.2
22179,Carmina - Colección,"['Drama', 'Comedy']",es,1.345369,"['Jaleo Films', 'Andy Joke', 'Paloma Juanes']",71.0,['Español'],Carmina or Blow Up,6.5
22184,Zatôichi: The Blind Swordsman,"['Adventure', 'Action', 'Drama']",ja,0.65914,['Daiei Motion Picture Company'],96.0,['日本語'],Zatôichi Goes to the Fire Festival,5.8
22210,Zatôichi: The Blind Swordsman,"['Action', 'Adventure', 'Drama']",ja,0.73057,['Daiei Studios'],85.0,['日本語'],Zatôichi on the Road,7.5
22231,Zatôichi: The Blind Swordsman,"['Action', 'Drama']",ja,0.860258,['Daiei Motion Picture Company'],83.0,['日本語'],Zatôichi and the Chest of Gold,6.6
22232,Zatôichi: The Blind Swordsman,"['Action', 'Drama']",ja,1.024061,['Daiei Motion Picture Company'],82.0,['日本語'],Zatôichi's Flashing Sword,6.7
22239,Zatôichi: The Blind Swordsman,"['Adventure', 'Action', 'Drama']",ja,1.112057,['Daiei Studios'],86.0,['日本語'],Adventures of Zatôichi,6.3
22259,Zatôichi: The Blind Swordsman,"['Adventure', 'Action', 'Drama']",ja,0.373428,['Daiei Studios'],88.0,['日本語'],Zatôichi and the Doomed Man,6.5
22260,Zatôichi: The Blind Swordsman,"['Action', 'Adventure', 'Drama']",ja,0.916076,['Daiei Studios'],84.0,['日本語'],Zatôichi's Revenge,6.3
22272,Tengen Toppa Gurren Lagann Collection,"['Action', 'Adventure', 'Animation', 'Comedy']",ja,3.512528,['Gainax'],110.0,['日本語'],Gurren Lagann The Movie: Childhood's End,6.9
22273,Tengen Toppa Gurren Lagann Collection,"['Action', 'Adventure', 'Animation', 'Comedy']",ja,2.328925,['Gainax'],120.0,['日本語'],Gurren Lagann The Movie: The Lights in the Sky Are Stars,6.9
22275,Lady and the Tramp Collection,"['Romance', 'Animation', 'Family', 'Adventure']",en,9.672521,"['Walt Disney Pictures', 'Walt Disney Animation Australia', 'DisneyToon Studios', 'Walt Disney Television Animation']",69.0,['English'],Lady and the Tramp II: Scamp's Adventure,6.0
